"" , "$Gender missing" , 6177535
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060345" , "Males+Armenians" , 4
"$local" , "(lcdgt) Femles" , 8
"$local" , "male+Author+Editor" , 1
"http://id.loc.gov/authorities/subjects/sh2007003708" , "Transgender people" , 10
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060362" , "Females+African Americans" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060359+http://id.loc.gov/authorities/subjects/sh85009793" , "Men+Authors" , 1
"$local" , "Males d2 lcdgt" , 17
"http://id.loc.gov/authorities/subjects/sh85082138" , "Mathematicians" , 2
"$local" , "(lcdgt) Transexuals" , 1
"$local" , "(lcsh) Males s" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793" , "Females+Authors" , 13
"http://id.loc.gov/authorities/subjects/sh85047734+http://id.loc.gov/authorities/subjects/sh85108746" , "Females+Public prosecutors" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/names/no2002082837" , "Males+Kalinga Institute of Industrial Technology, Bhubaneswar" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060133" , "Males+Illustrators" , 1
"$local" , "(lcgdt) Males" , 2
"$local" , "female+pol" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85047734" , "eng+Females" , 5
"$local" , "male+spa" , 9
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85029386+http://id.loc.gov/authorities/subjects/sh85055980+http://id.loc.gov/authorities/subjects/sh85122826" , "Males+Composers+Gospel musicians+Singers" , 1
"$local" , "(homoit) Genderqueer people" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh2002006249" , "Females+Women" , 4
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Males+Transgender people" , 13
"$local" , "(lcdgt) Femlaes" , 9
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85009793" , "Males+Authors" , 4
"$local" , "(dgtf) Females" , 2
"$local" , "femalea" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060398" , "Gender minorities" , 14
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060005" , "Males+Females+Transsexuals" , 2
"$local" , "Females 2 lcdgt" , 5
"$local" , "female+Author" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh2007003708+http://id.loc.gov/authorities/subjects/sh85047734" , "Transgender woman+Trans woman+Transgender people+Females" , 1
"$local" , "femele" , 1
"http://id.loc.gov/authorities/subjects/sh85064419" , "Illustrators" , 9
"http://id.loc.gov/authorities/subjects/sh85075333" , "Law teachers" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/demographicTerms/dg2015060358" , "Transgender people+Women" , 3
"http://id.loc.gov/authorities/subjects/sh85020430" , "Carpenters" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85087526" , "Females+Mothers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060304" , "Females+Lesbians" , 3
"$local" , "male." , 8
"$local" , "Females $2 lcdgt" , 13
"http://id.loc.gov/authorities/subjects/sh2002006249+http://id.loc.gov/authorities/subjects/sh85083510" , "Women+Men" , 1
"$local" , "lcdgt+Males" , 10
"$local" , "male+eng" , 6
"$local" , "(lcdgt) femals" , 2
"$local" , "male $2 lcdgt" , 13
"http://id.loc.gov/authorities/subjects/sh2017004882" , "Gender-nonconforming people" , 11
"$local" , "masculin" , 2
"$local" , "pol" , 9
"$local" , "intersex+female" , 1
"$local" , "por" , 7
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "dut+Males" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2016060024" , "Females+University and college faculty members" , 6
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85046064" , "Females+Ex-farmers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Males+Females+Transgender people" , 16
"$local" , "[gender]" , 3
"http://id.loc.gov/authorities/subjects/sh85101610" , "Physicians" , 5
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "jpn+Females" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(iso5218) male+Males" , 8
"$local" , "(lcdgt) Felmales" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060358+http://id.loc.gov/authorities/subjects/sh85009793" , "Women+Authors" , 2
"$local" , "rus" , 17
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85041161" , "Females+Authors+Educators" , 1
"$local" , "(lcsdgt) Females" , 1
"http://id.loc.gov/authorities/subjects/sh85047734+http://id.loc.gov/authorities/subjects/sh85080137" , "Females+Males" , 10
"$local" , "cze" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85083510" , "Males+Men" , 5
"http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85028378" , "Authors+College teachers" , 1
"$local" , "(lcsh) Wpmen" , 1
"$local" , "(lcdgt) males (plural)" , 2
"$local" , "(lcdgt) Fwmales" , 2
"$local" , "(lcsh) men" , 8
"http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Transgender people" , 41
"$local" , "author" , 2
"$local" , "ger" , 8
"$local" , "(iso5218) females" , 4
"$local" , "(lcsgt) Females" , 3
"$local" , "(lcdgt) Feales" , 7
"http://id.loc.gov/authorities/subjects/sh85009793" , "Authors" , 16
"http://id.loc.gov/authorities/subjects/sh2002006249+http://id.loc.gov/authorities/subjects/sh2006004207" , "Women+Graphic artists" , 1
"http://id.loc.gov/authorities/subjects/sh85096653" , "Painters" , 1
"$local" , "Assistant clinical professor+male" , 1
"$local" , "bul" , 2
"$local" , "females $2 lcdgt" , 18
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "male+Men" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85053741" , "Females+Genealogists" , 1
"$local" , "Females+female" , 1
"$local" , "male+rum" , 1
"$local" , "ara" , 9
"$local" , "Males $2 lcdgt" , 22
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh00006290+http://id.loc.gov/authorities/subjects/sh85092863" , "Males+Journalists+Novelists" , 1
"$local" , "Males+lcsh" , 2
"$local" , "(lcdgt) Мales" , 2
"$local" , "ukr" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85028378" , "Females+Authors+College teachers" , 1
"$local" , "per+male" , 1
"$local" , "Poets;+Educators" , 1
"http://id.loc.gov/authorities/subjects/sh2002006249+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85064419" , "Women+Authors+Illustrators" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85033447" , "Males+Countertenors" , 1
"$local" , "fre+female" , 2
"$local" , "(lcdgr) Females" , 1
"$local" , "(lcgt) females" , 1
"$local" , "spa+male" , 12
"$local" , "fmale" , 2
"$local" , "(lcdgt) men+male+(lcdgt) males" , 1
"$local" , "rus+aze" , 1
