"(l csh) Males" , 6
"(lcdgt) Fales" , 2
"Males+Genealogists" , 1
"Italians" , 1
"female+ita" , 1
"(lcsh) Wome" , 2
"ind" , 8
"(iso5218) female+Females" , 4
"(lcdgt) Music" , 3
"eng+ger" , 1
"male+Artists" , 3
"Males+lcdgt" , 7
"#+Males" , 3
"Flugelhorn player" , 1
"Females 2lcdgt" , 1
"Motion picture editors" , 2
"Females $2 lcdgt+Males $2 lcdgt" , 1
"(lcdgt) Mlaes" , 3
"male female" , 3
"srp" , 3
"Screenwriters+Television producers and directors" , 2
"(;cdgt) Females" , 1
"femenino+female" , 1
"(homoit) Intersex people" , 1
"Males+Physicians" , 2
"Females+Law" , 1
"Composers+Music teachers+Carillonneurs" , 1
"(lcdgt) Fmales" , 4
"asm+Males" , 2
"Males+African Americans" , 2
"male+fre" , 1
"(homoit) Queer people" , 1
"heb" , 2
"chi+Females" , 2
"mele" , 2
"chi+eng" , 1
"7" , 1
"féminin" , 2
"spa+eng+Females" , 1
"femle" , 3
"Males+Human rights workers" , 1
"Males+High school teachers" , 1
"kha+Males" , 1
"transsexual woman" , 2
"female $2 lcdgt" , 6
"(lcdgt) Femalses" , 1
"(lcsh) women" , 1
"(lcsh) Feales" , 5
"(lcsh) Msales" , 1
"Civil engineering" , 1
"(lcdgt) Ma;es" , 1
"(lcgt) Males" , 1
"male+Historiography" , 1
"(lcsh) Femalesx" , 1
"rus+Males" , 4
"Females d2 lcdgt" , 6
"(csh) Males" , 1
"Traffic engineers" , 1
"male+tam" , 1
"Males 2 lcsh" , 2
"ger+spa" , 1
"(lcdgt) Females other" , 3
"Females+II Università degli studi di Roma" , 1
"eng+swe" , 1
"(lc sh) Males" , 4
"Men+Composers+Musicians" , 1
"Males $2 lcdgt+Females" , 1
"Flute player+Recorder player" , 1
"Males+Females+Transgender people+Transgender men" , 1
"Bible -- Study and teaching+male" , 1
"Males+Dissenters" , 1
"eng+spa" , 3
"Transgender woman+Males" , 1
"Actresses" , 1
"dut" , 2
"eng+pol" , 1
"Males+Female-to-male transsexuals" , 1
"Males+Actors" , 2
"Femenino" , 1
"(lcdgt) Maled" , 1
"Males+Females+Transgender people+Transgender women" , 2
"Sound designer" , 1
"Males." , 11
"Males $2 lcsh" , 1
"hun" , 1
"Transpinay" , 1
"feamle" , 3
"female+Cinematographers+Motion picture producers and directors+Screenwriters" , 1
"(lcgft) Men" , 5
"Females$2lcdgt" , 1
"Regis University+University of Wyoming+male" , 1
"(lcdgt) men+Males" , 1
"male+hrv" , 2
"Environmental scientist" , 1
"baq+spa" , 1
"(lcdgt) Fenales" , 4
"Historians" , 3
"Males+Lawyers+Scholars" , 1
"Control room alarm systems+Males" , 1
"(lcshj) Males" , 2
"ben+Males" , 5
"fre+Females" , 3
"(lcdgt) Mles" , 2
"Women+Pianists" , 1
"male+tha" , 1
"Male+Males" , 2
"female+Artists, Black" , 1
"Transsexuals" , 7
"mae" , 5
"Businessmen" , 1
"Females+Holocaust survivors" , 1
"Males 2lcsh" , 1
"Males+Authors+Screenwriters" , 1
"(naf) females" , 1
"(lcsh) Malers" , 1
"male+College teachers+Deans (Education)" , 1
"not kown" , 1
"gender nonconforming" , 2
"(lcdgt) Femeles" , 1
"mar" , 1
"(aat) Researchers" , 1
"male+Architects+College teachers" , 1
"(ldgt) Males" , 6
"Cinematographers" , 2
"(lcdgt) Maes" , 3
"ara+eng" , 1
"Gay men" , 2
"(ledgt) Males" , 1
"nor+eng" , 1
"(lcsh) Females," , 1
"(lcs) female" , 1
"female  lecturer in childhood studies and sociology at the University of Essex." , 1
"femalẽ" , 1
"malay" , 1
"transgender female" , 1
"mala" , 1
"Females #2 lcsh" , 1
"Females+Composition teachers (Music)" , 1
"(lcdgt) Malew" , 2
"(lcdgt) Women j" , 1
"(lcdft) Females" , 2
"male+dan" , 1
"Boys" , 3
"female+Piano teachers" , 1
"Females+Composers+Lyricists" , 1
"(lcdgt) <ales" , 1
"females  $2 lcdgt" , 1
"male+Buddhist monks" , 1
"Motion picture producers and directors" , 1
"male+Civil engineers+Poets" , 1
"(naf) Females" , 8
"male+College teachers+Printers" , 1
"Transgender people+Transgender men+Males" , 1
"(lcdgt) Femailes" , 1
"Artists" , 1
"(ldcgt) Males" , 2
"male+Physicians" , 2
"males+lcdgt" , 1
"fermale" , 1
"Aude (France : Department)" , 1
"(homoit) Genderqueer people+Transgender people" , 1
"male-to-female transsexuals+female+male" , 1
"Females+Authors+Poets" , 1
"Female-to-male transsexual" , 1
"(lch) Males" , 1
"femal" , 13
"(lcgdt) Females" , 6
"Females 2 lcsh" , 3
"(lcgft) males" , 2
"(lcsh) Matematics+Males+Physics+String models" , 1
"fiction" , 1
"(itoamc) Males" , 1
"Males+Females+Transgender people+Lesbians" , 1
"Males 2 lcdgt" , 9
"Males+Blind" , 1
"(lcdgt) Feamles" , 5
"(lcdgt) Mals" , 3
"(lcsh) authors+Males+College teachers" , 1
"Writer" , 1
"mela" , 1
"(edtfg) Males" , 1
"male+ind" , 2
"female+Popular music" , 1
"Professor" , 4
"Females+Journalists+Authors" , 2
"(lcdgt) Malea" , 1
"Surgeons+Physicians" , 1
"Men+Motion pictures" , 1
"Males+Plantation owners+Slaveholders" , 1
"Transgender man+Males+Females+Transgender people" , 2
"hrv+Males" , 2
"Professor+male" , 1
"Photographer+female" , 1
"(lcdgt) Females/males" , 1
"Males+People with developmental disabilities" , 1
"Archivists+Historians" , 1
"female." , 9
"Journalists+Insurance agents+Musicians+Poets" , 1
"males $2 lcgdt" , 1
"(lcdgt) Fremales" , 1
"spa+Females" , 2
"(lcsh) Famels" , 1
"transgender+female" , 1
"(lcdgt) Males," , 9
"Males+College teachers" , 1
"Males+Rabbis" , 1
"lat+ita+Males" , 1
"(lcdgt) Males/Females" , 6
"arm+male" , 2
"(lcsh) Ma;es" , 1
"Females+Transgender people+Transgender women" , 1
"Transgender woman+Males+Females+Transgender people" , 1
"Motion picture directors" , 2
"Females+Journalists" , 1
"male+Authors" , 1
"male+eng+Males" , 1
"Illustrators+Men" , 1
"College teachers+Environmental engineers" , 1
"(lcdgt) Males;" , 2
"Actors" , 2
"Females+Radio broadcasting+Television broadcasting" , 1
"Television comedy writers" , 1
"Novelists" , 1
"eng+por" , 1
"(aat) Hermaphrodites (people)" , 1
"Females+Comedians" , 1
"University of Turku" , 1
"Females+Authors+Illustrators" , 1
"Internet, Jan. 11, 2016" , 1
"female+Lawyers" , 1
"(lcsh) Maless" , 3
"Photographers+Businesswomen" , 1
"(itoamc) Females" , 2
"Composers+Percussionists" , 1
"Females $2 lcsh" , 1
"(lcdgt) Mlales" , 1
"Males+College administrators+Geologists+Geology teachers" , 1
"(lcdgt) Authors+Males" , 1
"Politician+male" , 1
"male+bul" , 1
"(lcdgt) Maless" , 1
"eng+male+ger" , 1
"Translators" , 2
"fenale" , 2
"eng+tha+male" , 1
"Physicists" , 3
"Film director+male" , 1
"(naf) Sarajevo, Bosnia and Herzegovina" , 1
"Law teachers+Males" , 2
"male+Women" , 1
"lcdgt+males" , 1
"Musicians" , 1
"Females+Authors+Biologists" , 1
"eng+jpa" , 1
"(lcdgt) les" , 1
"vie+eng" , 1
"male+female+Intersex people" , 1
"wel" , 3
"Women+Arrangers (Musicians)" , 1
"Males+Mormon converts+Lutherans+Mormons" , 1
"femalie" , 1
"(lcdgt) Malrs" , 1
"(lcdgt) College teachers+Males" , 3
"(lcdgt) MAles" , 3
"tam" , 2
"College teachers+Psychology teachers" , 1
"Transgender woman+(homoit) Transgender people+Females+Transgender people" , 1
"male+female+Male-to-female transsexuals+Intersex people" , 1
"bur" , 2
"not" , 1
"Males+Composers+University and college faculty members+Choral conductors" , 1
"(lcdgf) Females" , 1
"(lcgbt) Females" , 2
"Malesd2lcdgt" , 2
"male+eng+dut" , 1
"spa+lat" , 1
"(homoit) Genderqueer people+Males+Transgender people+Transgender men" , 1
"ita+Males" , 3
"feme" , 1
"Males+Theologians" , 1
