"http://id.loc.gov/authorities/names/no2020005679" , "$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "eng+Males"
"http://id.loc.gov/authorities/names/n79074359" , "http://id.loc.gov/authorities/subjects/sh00006383+http://id.loc.gov/authorities/subjects/sh85017003+http://id.loc.gov/authorities/subjects/sh85104453+http://id.loc.gov/authorities/subjects/sh85136974" , "Lawyers+Broadcasters+Political scientists+Translators"
"http://id.loc.gov/authorities/names/nr95014463" , "$local" , "eng+female"
"http://id.loc.gov/authorities/names/n2016043209" , "$local" , "Females lcsh"
"http://id.loc.gov/authorities/names/n81134991" , "$local" , "Females+lcdgt"
"http://id.loc.gov/authorities/names/n2017034709" , "$local" , "Madrid"
"http://id.loc.gov/authorities/names/no2018008709" , "$local" , "gre"
"http://id.loc.gov/authorities/names/no2016133709" , "$local" , "eng+fre"
"http://id.loc.gov/authorities/names/n89641709" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060345" , "Males+Armenians"
"http://id.loc.gov/authorities/names/n2017251709" , "$local" , "(lcdgt) Femles"
"http://id.loc.gov/authorities/names/no2018137009" , "$local" , "spa"
"http://id.loc.gov/authorities/names/no2016056009" , "$local" , "male+Author+Editor"
"http://id.loc.gov/authorities/names/n79040121" , "http://id.loc.gov/authorities/subjects/sh2007003708" , "Transgender people"
"http://id.loc.gov/authorities/names/n79074298" , "http://id.loc.gov/authorities/subjects/sh85028378" , "College teachers"
"http://id.loc.gov/authorities/names/no00023493" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060362" , "Females+African Americans"
"http://id.loc.gov/authorities/names/n2006055215" , "http://id.loc.gov/authorities/demographicTerms/dg2015060359+http://id.loc.gov/authorities/subjects/sh85009793" , "Men+Authors"
"http://id.loc.gov/authorities/names/n2006068509" , "$local" , "Males d2 lcdgt"
"http://id.loc.gov/authorities/names/no2017163509" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Females+Transgender people"
"http://id.loc.gov/authorities/names/n83829124" , "http://id.loc.gov/authorities/subjects/sh85082138" , "Mathematicians"
"http://id.loc.gov/authorities/names/n80079847" , "$local" , "(lcdgt) Transexuals"
